step mean margin_of_error
0 0.0 0.0
1000 3.251 0.394
10000 1.768 0.207
20000 1.85 0.157
30000 1.836 0.143
40000 1.93 0.168
50000 1.965 0.179
60000 2.003 0.153
70000 2.058 0.177
80000 2.101 0.174
90000 2.167 0.15
100000 2.199 0.135
110000 2.218 0.176
120000 2.284 0.168
130000 2.014 0.177
150000 1.943 0.212
160000 1.945 0.193
170000 1.967 0.183
180000 1.965 0.189
190000 1.986 0.197
200000 2.019 0.197
300000 1.909 0.207
400000 1.864 0.233
500000 1.876 0.25
600000 1.907 0.271
700000 1.863 0.275
800000 1.955 0.276
900000 1.901 0.262
