step mean margin_of_error
0 0.0 0.0
1000 2.172 2.111
10000 1.701 1.929
20000 1.607 1.008
30000 1.817 0.031
40000 1.75 1.122
50000 1.824 0.401
60000 1.886 0.948
70000 1.99 0.918
80000 1.951 1.636
90000 1.988 0.808
100000 2.046 1.193
110000 2.176 1.633
120000 2.136 1.463
130000 2.195 1.156
150000 2.165 1.268
160000 2.07 0.776
170000 2.13 1.406
180000 2.196 1.146
190000 2.188 0.272
200000 2.256 1.213
300000 2.101 0.469
400000 2.199 0.594
500000 2.266 0.505
600000 2.288 0.144
700000 2.266 0.398
800000 2.283 0.012
900000 2.348 0.258
