step mean margin_of_error
0 0.528 0.003
1000 0.599 0.002
10000 0.629 0.002
20000 0.635 0.002
30000 0.637 0.002
40000 0.638 0.002
50000 0.638 0.002
60000 0.638 0.002
70000 0.638 0.002
80000 0.638 0.002
90000 0.638 0.002
100000 0.638 0.001
110000 0.638 0.001
120000 0.639 0.001
130000 0.641 0.001
150000 0.645 0.001
160000 0.645 0.001
170000 0.646 0.001
180000 0.647 0.001
190000 0.647 0.001
200000 0.647 0.001
300000 0.65 0.001
400000 0.653 0.001
500000 0.655 0.001
600000 0.658 0.001
700000 0.659 0.001
800000 0.66 0.001
900000 0.659 0.001
