step mean margin_of_error
0 0.528 0.004
1000 0.601 0.002
10000 0.622 0.003
20000 0.629 0.002
30000 0.631 0.002
40000 0.632 0.002
50000 0.633 0.002
60000 0.633 0.002
70000 0.633 0.002
80000 0.633 0.002
90000 0.633 0.002
100000 0.633 0.002
110000 0.633 0.002
120000 0.633 0.002
130000 0.634 0.002
150000 0.635 0.002
160000 0.636 0.002
170000 0.636 0.002
180000 0.637 0.002
190000 0.637 0.002
200000 0.637 0.002
300000 0.643 0.001
400000 0.646 0.001
500000 0.647 0.002
600000 0.652 0.001
700000 0.654 0.002
800000 0.657 0.001
900000 0.657 0.001
