step mean margin_of_error
0 0.576 0.002
1000 0.589 0.006
10000 0.624 0.003
20000 0.626 0.003
30000 0.627 0.003
40000 0.628 0.003
50000 0.629 0.002
60000 0.629 0.002
70000 0.629 0.003
80000 0.629 0.002
90000 0.629 0.003
100000 0.629 0.002
110000 0.629 0.002
120000 0.629 0.002
130000 0.629 0.002
150000 0.632 0.002
160000 0.633 0.002
170000 0.634 0.002
180000 0.634 0.002
190000 0.635 0.003
200000 0.635 0.002
300000 0.636 0.002
400000 0.637 0.002
500000 0.639 0.002
600000 0.642 0.002
700000 0.643 0.002
800000 0.643 0.002
900000 0.642 0.002
