step mean margin_of_error
0 0.577 0.001
1000 0.589 0.004
10000 0.619 0.003
20000 0.623 0.003
30000 0.625 0.003
40000 0.625 0.003
50000 0.625 0.002
60000 0.626 0.003
70000 0.626 0.003
80000 0.626 0.003
90000 0.626 0.003
100000 0.626 0.003
110000 0.626 0.003
120000 0.625 0.003
130000 0.625 0.003
150000 0.627 0.002
160000 0.628 0.002
170000 0.628 0.002
180000 0.628 0.002
190000 0.629 0.002
200000 0.629 0.002
300000 0.631 0.002
400000 0.634 0.002
500000 0.636 0.002
600000 0.639 0.002
700000 0.64 0.002
800000 0.643 0.002
900000 0.642 0.002
