step mean margin_of_error
0 0.502 0.001
1000 0.505 0.002
10000 0.52 0.002
20000 0.526 0.002
30000 0.529 0.002
40000 0.533 0.002
50000 0.534 0.002
60000 0.534 0.002
70000 0.535 0.002
80000 0.535 0.003
90000 0.536 0.002
100000 0.537 0.002
110000 0.536 0.003
120000 0.537 0.002
130000 0.544 0.002
150000 0.551 0.002
160000 0.553 0.002
170000 0.554 0.002
180000 0.555 0.002
190000 0.555 0.002
200000 0.556 0.002
300000 0.576 0.002
400000 0.589 0.002
500000 0.601 0.002
600000 0.613 0.002
700000 0.627 0.002
800000 0.635 0.002
900000 0.641 0.002
