step mean margin_of_error
0 0.502 0.001
1000 0.504 0.002
10000 0.521 0.001
20000 0.522 0.001
30000 0.524 0.002
40000 0.524 0.002
50000 0.525 0.001
60000 0.525 0.002
70000 0.526 0.002
80000 0.526 0.002
90000 0.527 0.002
100000 0.527 0.002
110000 0.528 0.002
120000 0.528 0.002
130000 0.535 0.002
150000 0.542 0.003
160000 0.545 0.003
170000 0.547 0.003
180000 0.548 0.003
190000 0.549 0.003
200000 0.549 0.003
300000 0.572 0.003
400000 0.586 0.004
500000 0.596 0.004
600000 0.606 0.005
700000 0.618 0.005
800000 0.626 0.004
900000 0.631 0.004
