step mean margin_of_error
0 0.502 0.001
1000 0.505 0.001
10000 0.519 0.001
20000 0.527 0.002
30000 0.529 0.002
40000 0.532 0.002
50000 0.533 0.003
60000 0.533 0.003
70000 0.535 0.002
80000 0.535 0.002
90000 0.536 0.002
100000 0.535 0.003
110000 0.535 0.002
120000 0.536 0.003
130000 0.543 0.003
150000 0.551 0.003
160000 0.554 0.002
170000 0.555 0.002
180000 0.556 0.002
190000 0.557 0.002
200000 0.557 0.002
300000 0.578 0.002
400000 0.592 0.003
500000 0.603 0.003
600000 0.616 0.003
700000 0.63 0.002
800000 0.638 0.002
900000 0.643 0.002
