step mean margin_of_error
0 0.501 0.001
1000 0.503 0.001
10000 0.522 0.002
20000 0.523 0.002
30000 0.523 0.001
40000 0.524 0.002
50000 0.524 0.002
60000 0.524 0.002
70000 0.525 0.002
80000 0.526 0.002
90000 0.526 0.002
100000 0.526 0.002
110000 0.527 0.002
120000 0.526 0.001
130000 0.533 0.002
150000 0.54 0.002
160000 0.542 0.002
170000 0.543 0.002
180000 0.544 0.002
190000 0.545 0.003
200000 0.545 0.003
300000 0.569 0.003
400000 0.584 0.002
500000 0.595 0.002
600000 0.605 0.003
700000 0.618 0.003
800000 0.626 0.003
900000 0.632 0.003
