step mean margin_of_error
0 0.509 0.004
1000 0.6 0.002
10000 0.616 0.002
20000 0.617 0.003
30000 0.618 0.003
40000 0.62 0.003
50000 0.619 0.003
60000 0.619 0.002
70000 0.619 0.003
80000 0.619 0.002
90000 0.619 0.002
100000 0.618 0.002
110000 0.618 0.002
120000 0.618 0.002
130000 0.617 0.002
150000 0.623 0.002
160000 0.626 0.002
170000 0.627 0.002
180000 0.629 0.002
190000 0.63 0.002
200000 0.631 0.002
300000 0.644 0.002
400000 0.654 0.003
500000 0.663 0.002
600000 0.676 0.001
700000 0.685 0.002
800000 0.689 0.002
900000 0.691 0.002
