step mean margin_of_error
0 0.508 0.004
1000 0.601 0.003
10000 0.618 0.002
20000 0.619 0.003
30000 0.62 0.003
40000 0.62 0.002
50000 0.621 0.002
60000 0.62 0.002
70000 0.62 0.002
80000 0.62 0.002
90000 0.62 0.002
100000 0.62 0.002
110000 0.619 0.003
120000 0.619 0.003
130000 0.619 0.003
150000 0.626 0.003
160000 0.628 0.003
170000 0.628 0.003
180000 0.629 0.003
190000 0.63 0.003
200000 0.63 0.003
300000 0.645 0.003
400000 0.65 0.003
500000 0.654 0.004
600000 0.666 0.003
700000 0.674 0.003
800000 0.679 0.002
900000 0.683 0.002
