step mean margin_of_error
0 0.521 0.002
1000 0.58 0.006
10000 0.609 0.004
20000 0.608 0.004
30000 0.607 0.004
40000 0.606 0.004
50000 0.604 0.005
60000 0.604 0.004
70000 0.603 0.005
80000 0.602 0.005
90000 0.6 0.005
100000 0.6 0.005
110000 0.599 0.005
120000 0.598 0.004
130000 0.598 0.005
150000 0.605 0.004
160000 0.608 0.004
170000 0.61 0.004
180000 0.611 0.003
190000 0.612 0.004
200000 0.613 0.004
300000 0.624 0.003
400000 0.634 0.003
500000 0.643 0.002
600000 0.652 0.003
700000 0.66 0.003
800000 0.664 0.003
900000 0.664 0.003
