step mean margin_of_error
0 0.522 0.003
1000 0.576 0.007
10000 0.609 0.003
20000 0.608 0.003
30000 0.608 0.003
40000 0.606 0.003
50000 0.605 0.003
60000 0.605 0.003
70000 0.603 0.003
80000 0.602 0.003
90000 0.602 0.003
100000 0.601 0.003
110000 0.601 0.003
120000 0.599 0.003
130000 0.6 0.003
150000 0.605 0.002
160000 0.607 0.003
170000 0.607 0.003
180000 0.609 0.002
190000 0.609 0.002
200000 0.609 0.003
300000 0.622 0.003
400000 0.628 0.003
500000 0.632 0.003
600000 0.642 0.003
700000 0.65 0.003
800000 0.655 0.003
900000 0.657 0.002
