step mean margin_of_error
0 0.0 0.0
1000 0.061 0.004
10000 0.171 0.006
20000 0.255 0.008
30000 0.304 0.009
40000 0.346 0.009
50000 0.374 0.008
60000 0.407 0.012
70000 0.423 0.02
80000 0.448 0.012
90000 0.461 0.014
100000 0.478 0.013
110000 0.487 0.009
120000 0.503 0.011
130000 0.405 0.008
150000 0.387 0.011
160000 0.402 0.01
170000 0.414 0.01
180000 0.416 0.012
190000 0.433 0.015
200000 0.451 0.011
300000 0.462 0.007
400000 0.449 0.008
500000 0.472 0.006
600000 0.52 0.011
700000 0.512 0.006
800000 0.483 0.007
900000 0.461 0.011
