step mean margin_of_error
0 0.0 0.0
1000 0.055 0.004
10000 0.152 0.006
20000 0.235 0.012
30000 0.305 0.011
40000 0.357 0.009
50000 0.408 0.012
60000 0.442 0.014
70000 0.471 0.011
80000 0.51 0.014
90000 0.543 0.007
100000 0.56 0.009
110000 0.581 0.011
120000 0.609 0.01
130000 0.492 0.012
150000 0.456 0.011
160000 0.453 0.013
170000 0.472 0.014
180000 0.485 0.015
190000 0.502 0.013
200000 0.517 0.011
300000 0.479 0.008
400000 0.49 0.01
500000 0.498 0.011
600000 0.524 0.01
700000 0.529 0.011
800000 0.484 0.006
900000 0.483 0.007
