step mean margin_of_error
0 0.0 0.0
1000 0.045 0.004
10000 0.158 0.005
20000 0.241 0.007
30000 0.295 0.011
40000 0.327 0.008
50000 0.365 0.012
60000 0.395 0.009
70000 0.421 0.007
80000 0.435 0.009
90000 0.458 0.007
100000 0.477 0.012
110000 0.498 0.01
120000 0.511 0.009
130000 0.421 0.01
150000 0.411 0.012
160000 0.418 0.012
170000 0.427 0.006
180000 0.439 0.008
190000 0.437 0.011
200000 0.453 0.01
300000 0.475 0.011
400000 0.462 0.009
500000 0.48 0.007
600000 0.515 0.007
700000 0.5 0.01
800000 0.463 0.008
900000 0.452 0.007
