step mean margin_of_error
0 0.0 0.0
1000 0.035 0.004
10000 0.138 0.006
20000 0.223 0.007
30000 0.285 0.007
40000 0.332 0.01
50000 0.38 0.005
60000 0.421 0.016
70000 0.448 0.009
80000 0.481 0.013
90000 0.513 0.012
100000 0.54 0.011
110000 0.561 0.012
120000 0.59 0.012
130000 0.474 0.011
150000 0.44 0.008
160000 0.448 0.006
170000 0.454 0.017
180000 0.458 0.009
190000 0.476 0.014
200000 0.487 0.01
300000 0.479 0.009
400000 0.469 0.01
500000 0.488 0.01
600000 0.504 0.008
700000 0.508 0.007
800000 0.469 0.01
900000 0.465 0.004
