step mean margin_of_error
0 0.037 0.0
1000 0.161 0.012
10000 0.266 0.017
20000 0.34 0.012
30000 0.377 0.008
40000 0.415 0.015
50000 0.44 0.01
60000 0.466 0.009
70000 0.473 0.015
80000 0.493 0.011
90000 0.495 0.012
100000 0.509 0.01
110000 0.514 0.008
120000 0.521 0.008
130000 0.511 0.01
150000 0.508 0.01
160000 0.521 0.01
170000 0.528 0.008
180000 0.526 0.012
190000 0.537 0.01
200000 0.548 0.007
300000 0.57 0.007
400000 0.587 0.005
500000 0.597 0.004
600000 0.623 0.008
700000 0.642 0.004
800000 0.612 0.004
900000 0.635 0.007
