step mean margin_of_error
0 0.038 0.0
1000 0.239 0.018
10000 0.318 0.01
20000 0.385 0.017
30000 0.443 0.007
40000 0.482 0.012
50000 0.512 0.017
60000 0.532 0.011
70000 0.548 0.012
80000 0.571 0.011
90000 0.583 0.007
100000 0.588 0.009
110000 0.595 0.009
120000 0.609 0.008
130000 0.54 0.006
150000 0.529 0.01
160000 0.523 0.011
170000 0.533 0.01
180000 0.541 0.009
190000 0.546 0.009
200000 0.554 0.008
300000 0.575 0.005
400000 0.594 0.006
500000 0.6 0.007
600000 0.611 0.006
700000 0.635 0.005
800000 0.626 0.004
900000 0.617 0.006
