step mean margin_of_error
0 0.135 0.0
1000 0.181 0.019
10000 0.268 0.017
20000 0.359 0.015
30000 0.42 0.021
40000 0.441 0.012
50000 0.468 0.013
60000 0.494 0.01
70000 0.517 0.012
80000 0.522 0.014
90000 0.538 0.009
100000 0.554 0.01
110000 0.566 0.01
120000 0.573 0.01
130000 0.56 0.008
150000 0.555 0.009
160000 0.56 0.013
170000 0.566 0.007
180000 0.571 0.007
190000 0.567 0.01
200000 0.577 0.009
300000 0.614 0.008
400000 0.623 0.009
500000 0.63 0.006
600000 0.648 0.004
700000 0.66 0.006
800000 0.626 0.005
900000 0.653 0.005
