step mean margin_of_error
0 0.135 0.0
1000 0.22 0.035
10000 0.319 0.014
20000 0.417 0.016
30000 0.477 0.013
40000 0.508 0.012
50000 0.545 0.009
60000 0.567 0.014
70000 0.581 0.008
80000 0.592 0.01
90000 0.61 0.009
100000 0.623 0.009
110000 0.629 0.01
120000 0.643 0.009
130000 0.577 0.005
150000 0.562 0.006
160000 0.569 0.006
170000 0.563 0.013
180000 0.562 0.007
190000 0.575 0.011
200000 0.578 0.008
300000 0.605 0.007
400000 0.611 0.008
500000 0.625 0.007
600000 0.627 0.006
700000 0.652 0.007
800000 0.641 0.007
900000 0.627 0.006
